ROTA;FILIAL_ORIGEM;FILIAL_DESTINO; R$_CAPITAL ; R$_INTERIOR ; %_CAPITAL ; %_INTERIOR ;PM
FLNXAP;FLN;XAP;R$ 1,64;R$ 2,08;0,27%;0,27%;50
FLNSJP;FLN;SJP;R$ 2,66;R$ 3,07;0,27%;0,27%;50
FLNPPB;FLN;PPB;R$ 2,84;R$ 3,26;0,27%;0,27%;50
FLNRIO;FLN;RIO;R$ 1,75;R$ 2,20;0,27%;0,27%;50
FLNJDF;FLN;JDF;R$ 2,42;R$ 2,84;0,27%;0,27%;50
FLNDIV;FLN;DIV;R$ 1,86;R$ 2,30;0,27%;0,27%;50
FLNBHZ;FLN;BHZ;R$ 1,55;R$ 2,01;0,27%;0,27%;50
FLNUDI;FLN;UDI;R$ 1,44;R$ 1,90;0,27%;0,27%;50
FLNCAW;FLN;CAW;R$ 2,26;R$ 2,69;0,27%;0,27%;50
FLNVIX;FLN;VIX;R$ 1,78;R$ 2,23;0,37%;0,37%;50
FLNGYN;FLN;GYN;R$ 1,73;R$ 2,17;0,37%;0,37%;50
FLNBSB;FLN;BSB;R$ 2,21;R$ 2,63;0,37%;0,37%;50
FLNVDC;FLN;VDC;R$ 2,43;R$ 2,85;0,45%;0,45%;50
FLNITN;FLN;ITN;R$ 2,50;R$ 2,92;0,45%;0,45%;50
FLNSSA;FLN;SSA;R$ 2,17;R$ 2,59;0,66%;0,66%;50
FLNFES;FLN;FES;R$ 2,01;R$ 2,44;0,66%;0,66%;50
FLNCGR;FLN;CGR;R$ 3,20;R$ 3,58;0,66%;0,66%;50
FLNPMW;FLN;PMW;R$ 3,35;R$ 3,73;0,66%;0,66%;50
FLNCGB;FLN;CGB;R$ 3,80;R$ 4,17;0,66%;0,66%;50
FLNPNZ;FLN;PNZ;R$ 3,23;R$ 3,61;0,66%;0,66%;50
FLNAJU;FLN;AJU;R$ 2,15;R$ 2,58;0,66%;0,66%;50
FLNMCZ;FLN;MCZ;R$ 2,09;R$ 2,52;0,94%;0,94%;50
FLNIMP;FLN;IMP;R$ 3,20;R$ 3,58;0,94%;0,94%;50
FLNCAU;FLN;CAU;R$ 2,94;R$ 3,34;0,94%;0,94%;50
FLNTHE;FLN;THE;R$ 2,86;R$ 3,27;0,94%;0,94%;50
FLNREC;FLN;REC;R$ 1,65;R$ 2,13;0,94%;0,94%;50
FLNJPA;FLN;JPA;R$ 2,19;R$ 2,62;0,94%;0,94%;50
FLNNAT;FLN;NAT;R$ 2,24;R$ 2,66;0,94%;0,94%;50
FLNSLZ;FLN;SLZ;R$ 3,26;R$ 3,64;0,94%;0,94%;50
FLNFOR;FLN;FOR;R$ 2,13;R$ 2,56;0,94%;0,94%;50
FLNBEL;FLN;BEL;R$ 2,16;R$ 2,57;0,94%;0,94%;50
FORFES;FOR;FES;R$ 2,14;R$ 2,40;0,27%;0,27%;50
FORITN;FOR;ITN;R$ 2,41;R$ 2,74;0,27%;0,27%;50
FORVDC;FOR;VDC;R$ 2,61;R$ 2,93;0,27%;0,27%;50
FORTHE;FOR;THE;R$ 2,32;R$ 2,60;0,25%;0,25%;50
FORSSA;FOR;SSA;R$ 2,54;R$ 2,87;0,27%;0,27%;50
FORBEL;FOR;BEL;R$ 2,42;R$ 2,71;0,27%;0,27%;50
FORAJU;FOR;AJU;R$ 2,32;R$ 2,65;0,27%;0,27%;50
FORSLZ;FOR;SLZ;R$ 2,73;R$ 2,97;0,25%;0,25%;50
FORPNZ;FOR;PNZ;R$ 4,39;R$ 4,57;0,37%;0,37%;50
FORMCZ;FOR;MCZ;R$ 3,78;R$ 3,98;0,37%;0,37%;50
FORCAU;FOR;CAU;R$ 2,99;R$ 3,30;0,37%;0,37%;50
FORREC;FOR;REC;R$ 2,72;R$ 3,02;0,37%;0,37%;50
FORJPA;FOR;JPA;R$ 3,00;R$ 3,23;0,45%;0,45%;50
FORNAT;FOR;NAT;R$ 2,77;R$ 3,05;0,45%;0,45%;50
FORVIX;FOR;VIX;R$ 2,27;R$ 2,61;0,66%;0,66%;50
FORBHZ;FOR;BHZ;R$ 2,46;R$ 2,80;0,45%;0,45%;50
FORBSB;FOR;BSB;R$ 3,09;R$ 3,35;0,45%;0,45%;50
FORPMW;FOR;PMW;R$ 4,17;R$ 4,40;0,45%;0,45%;50
FORCAW;FOR;CAW;R$ 3,22;R$ 3,51;0,66%;0,66%;50
FORDIV;FOR;DIV;R$ 2,66;R$ 2,99;0,66%;0,66%;50
FORJDF;FOR;JDF;R$ 2,98;R$ 3,31;0,66%;0,66%;50
FORGYN;FOR;GYN;R$ 2,92;R$ 3,21;0,66%;0,66%;50
FORRIO;FOR;RIO;R$ 2,58;R$ 2,91;0,94%;0,94%;50
FORPSA;FOR;PSA;R$ 3,08;R$ 3,40;0,66%;0,66%;50
FORSJK;FOR;SJK;R$ 3,09;R$ 3,42;0,66%;0,66%;50
FORCPQ;FOR;CPQ;R$ 3,27;R$ 3,57;0,66%;0,66%;50
FORSAO;FOR;SAO;R$ 2,64;R$ 2,98;0,66%;0,66%;50
FORSSZ;FOR;SSZ;R$ 3,45;R$ 3,76;0,66%;0,66%;50
FORSOD;FOR;SOD;R$ 3,39;R$ 3,68;0,66%;0,66%;50
FORJOI;FOR;JOI;R$ 3,46;R$ 3,75;0,94%;0,94%;50
FORBAU;FOR;BAU;R$ 3,32;R$ 3,64;0,94%;0,94%;50
FORRAO;FOR;RAO;R$ 3,60;R$ 3,88;0,94%;0,94%;50
FORCWB;FOR;CWB;R$ 3,33;R$ 3,64;0,94%;0,94%;50
FORCGB;FOR;CGB;R$ 6,21;R$ 6,37;0,94%;0,94%;50
FORCGR;FOR;CGR;R$ 5,64;R$ 5,82;0,94%;0,94%;50
FORSJP;FOR;SJP;R$ 3,82;R$ 4,11;0,94%;0,94%;50
FORITJ;FOR;ITJ;R$ 3,01;R$ 3,34;0,94%;0,94%;50
FORBNU;FOR;BNU;R$ 2,99;R$ 3,32;0,94%;0,94%;50
FORLDB;FOR;LDB;R$ 3,21;R$ 3,52;0,94%;0,94%;50
FORFLN;FOR;FLN;R$ 3,31;R$ 3,62;0,94%;0,94%;50
FORPPB;FOR;PPB;R$ 4,27;R$ 4,54;0,94%;0,94%;50
FORUDI;FOR;UDI;R$ 3,41;R$ 3,70;0,94%;0,94%;50
FORMGF;FOR;MGF;R$ 3,23;R$ 3,54;0,94%;0,94%;50
FORLAJ;FOR;LAJ;R$ 3,80;R$ 4,10;0,94%;0,94%;50
FORCCM;FOR;CCM;R$ 4,06;R$ 4,34;0,94%;0,94%;50
FORCAC;FOR;CAC;R$ 3,69;R$ 3,99;0,94%;0,94%;50
FORXAP;FOR;XAP;R$ 3,76;R$ 4,06;0,94%;0,94%;50
FORPOA;FOR;POA;R$ 3,82;R$ 4,11;0,94%;0,94%;50
FORCXJ;FOR;CXJ;R$ 3,14;R$ 3,45;0,94%;0,94%;50
FORFOR;FOR;FOR;R$ 0,66;R$ 1,24;0,14%;0,14%;50
FORIMP;FOR;IMP;R$ 1,81;R$ 2,16;0,66%;0,66%;50
GYNGYN;GYN;GYN;R$ 0,74;R$ 1,53;0,14%;0,14%;50
GYNBSB;GYN;BSB;R$ 1,21;R$ 1,82;0,18%;0,18%;50
GYNCGB;GYN;CGB;R$ 4,54;R$ 5,02;0,18%;0,18%;50
GYNCGR;GYN;CGR;R$ 3,43;R$ 3,95;0,18%;0,18%;50
GYNPMW;GYN;PMW;R$ 2,33;R$ 2,89;0,18%;0,18%;50
GYNSAO;GYN;SAO;R$ 2,03;R$ 2,55;0,27%;0,27%;50
GYNSSZ;GYN;SSZ;R$ 2,50;R$ 3,06;0,27%;0,27%;50
GYNJOI;GYN;JOI;R$ 2,18;R$ 2,74;0,27%;0,27%;50
GYNBAU;GYN;BAU;R$ 2,43;R$ 2,99;0,27%;0,27%;50
GYNRAO;GYN;RAO;R$ 2,23;R$ 2,79;0,27%;0,27%;50
GYNITJ;GYN;ITJ;R$ 1,96;R$ 2,54;0,27%;0,27%;50
GYNCWB;GYN;CWB;R$ 2,33;R$ 2,89;0,27%;0,27%;50
GYNFES;GYN;FES;R$ 2,37;R$ 2,84;0,37%;0,37%;50
GYNITN;GYN;ITN;R$ 2,83;R$ 3,32;0,37%;0,37%;50
GYNVDC;GYN;VDC;R$ 3,02;R$ 3,51;0,37%;0,37%;50
GYNFLN;GYN;FLN;R$ 2,31;R$ 2,87;0,37%;0,37%;50
GYNSJP;GYN;SJP;R$ 2,77;R$ 3,32;0,27%;0,27%;50
GYNBNU;GYN;BNU;R$ 2,00;R$ 2,57;0,27%;0,27%;50
GYNLAJ;GYN;LAJ;R$ 2,75;R$ 3,30;0,37%;0,37%;50
GYNSSA;GYN;SSA;R$ 2,42;R$ 2,98;0,37%;0,37%;50
GYNPPB;GYN;PPB;R$ 2,94;R$ 3,50;0,27%;0,27%;50
GYNCCM;GYN;CCM;R$ 3,03;R$ 3,57;0,37%;0,37%;50
GYNUDI;GYN;UDI;R$ 1,93;R$ 2,51;0,27%;0,27%;50
GYNMGF;GYN;MGF;R$ 2,11;R$ 2,68;0,37%;0,37%;50
GYNAJU;GYN;AJU;R$ 3,08;R$ 3,55;0,37%;0,37%;50
GYNXAP;GYN;XAP;R$ 2,71;R$ 3,26;0,37%;0,37%;50
GYNPOA;GYN;POA;R$ 2,31;R$ 2,88;0,37%;0,37%;50
GYNPNZ;GYN;PNZ;R$ 3,92;R$ 4,37;0,37%;0,37%;50
GYNCXJ;GYN;CXJ;R$ 2,31;R$ 2,85;0,37%;0,37%;50
GYNMCZ;GYN;MCZ;R$ 2,77;R$ 3,27;0,45%;0,45%;50
GYNCAU;GYN;CAU;R$ 4,02;R$ 4,46;0,45%;0,45%;50
GYNREC;GYN;REC;R$ 2,83;R$ 3,34;0,45%;0,45%;50
GYNJPA;GYN;JPA;R$ 2,63;R$ 3,14;0,45%;0,45%;50
GYNNAT;GYN;NAT;R$ 2,84;R$ 3,34;0,66%;0,66%;50
GYNVIX;GYN;VIX;R$ 1,84;R$ 2,42;0,37%;0,37%;50
GYNTHE;GYN;THE;R$ 3,11;R$ 3,64;0,66%;0,66%;50
GYNFOR;GYN;FOR;R$ 2,81;R$ 3,32;0,66%;0,66%;50
GYNBHZ;GYN;BHZ;R$ 1,75;R$ 2,32;0,25%;0,25%;50
GYNCAW;GYN;CAW;R$ 2,63;R$ 3,19;0,37%;0,37%;50
GYNDIV;GYN;DIV;R$ 1,76;R$ 2,32;0,25%;0,25%;50
GYNJDF;GYN;JDF;R$ 2,13;R$ 2,71;0,25%;0,25%;50
GYNIMP;GYN;IMP;R$ 3,13;R$ 3,66;0,94%;0,94%;50
GYNRIO;GYN;RIO;R$ 2,28;R$ 2,85;0,27%;0,27%;50
GYNPSA;GYN;PSA;R$ 2,51;R$ 3,09;0,25%;0,25%;50
GYNSJK;GYN;SJK;R$ 2,71;R$ 3,26;0,25%;0,25%;50
GYNCPQ;GYN;CPQ;R$ 2,41;R$ 2,97;0,25%;0,25%;50
GYNSOD;GYN;SOD;R$ 2,47;R$ 3,03;0,25%;0,25%;50
GYNLDB;GYN;LDB;R$ 2,40;R$ 2,94;0,27%;0,27%;50
GYNCAC;GYN;CAC;R$ 2,63;R$ 3,18;0,37%;0,37%;50
GYNSLZ;GYN;SLZ;R$ 2,49;R$ 3,07;0,94%;0,94%;50
GYNBEL;GYN;BEL;R$ 1,71;R$ 2,33;0,94%;0,94%;50
IMPFES;IMP;FES;R$ 2,94;R$ 2,05;0,45%;0,45%;50
IMPITN;IMP;ITN;R$ 2,96;R$ 2,46;0,45%;0,45%;50
IMPVDC;IMP;VDC;R$ 3,12;R$ 2,62;0,45%;0,45%;50
IMPSLZ;IMP;SLZ;R$ 4,47;R$ 3,31;0,25%;0,25%;50
IMPTHE;IMP;THE;R$ 3,71;R$ 2,88;0,66%;0,66%;50
IMPSSA;IMP;SSA;R$ 3,12;R$ 2,62;0,37%;0,37%;50
IMPBEL;IMP;BEL;R$ 2,37;R$ 1,90;0,94%;0,94%;50
IMPAJU;IMP;AJU;R$ 2,90;R$ 2,41;0,37%;0,37%;50
IMPPNZ;IMP;PNZ;R$ 4,83;R$ 3,96;0,37%;0,37%;50
IMPMCZ;IMP;MCZ;R$ 2,83;R$ 2,34;0,45%;0,45%;50
IMPCAU;IMP;CAU;R$ 3,21;R$ 2,81;0,45%;0,45%;50
IMPREC;IMP;REC;R$ 3,66;R$ 2,94;0,45%;0,45%;50
IMPJPA;IMP;JPA;R$ 3,78;R$ 2,86;0,45%;0,45%;50
IMPVIX;IMP;VIX;R$ 2,85;R$ 2,36;0,66%;0,66%;50
IMPBHZ;IMP;BHZ;R$ 3,22;R$ 2,72;0,94%;0,94%;50
IMPBSB;IMP;BSB;R$ 3,78;R$ 3,05;0,66%;0,66%;50
IMPPMW;IMP;PMW;R$ 4,83;R$ 4,11;0,66%;0,66%;50
IMPCAW;IMP;CAW;R$ 3,79;R$ 3,27;0,94%;0,94%;50
IMPDIV;IMP;DIV;R$ 3,32;R$ 2,81;0,94%;0,94%;50
IMPJDF;IMP;JDF;R$ 3,89;R$ 3,36;0,94%;0,94%;50
IMPGYN;IMP;GYN;R$ 3,59;R$ 2,92;0,45%;0,45%;50
IMPRIO;IMP;RIO;R$ 3,35;R$ 2,84;0,94%;0,94%;50
IMPPSA;IMP;PSA;R$ 3,60;R$ 3,18;0,94%;0,94%;50
IMPSJK;IMP;SJK;R$ 4,13;R$ 3,59;0,94%;0,94%;50
IMPCPQ;IMP;CPQ;R$ 3,65;R$ 3,18;0,94%;0,94%;50
IMPSAO;IMP;SAO;R$ 3,61;R$ 3,09;0,94%;0,94%;50
IMPSSZ;IMP;SSZ;R$ 4,55;R$ 3,99;0,94%;0,94%;50
IMPSOD;IMP;SOD;R$ 3,96;R$ 3,43;0,94%;0,94%;50
IMPJOI;IMP;JOI;R$ 4,04;R$ 3,50;0,94%;0,94%;50
IMPBAU;IMP;BAU;R$ 4,03;R$ 3,59;0,94%;0,94%;50
IMPRAO;IMP;RAO;R$ 4,17;R$ 3,63;0,94%;0,94%;50
IMPCWB;IMP;CWB;R$ 4,28;R$ 3,73;0,94%;0,94%;50
IMPCGB;IMP;CGB;R$ 6,88;R$ 6,08;0,94%;0,94%;50
IMPCGR;IMP;CGR;R$ 6,30;R$ 5,53;0,94%;0,94%;50
IMPSJP;IMP;SJP;R$ 4,34;R$ 3,89;0,94%;0,94%;50
IMPITJ;IMP;ITJ;R$ 3,92;R$ 3,39;0,94%;0,94%;50
IMPBNU;IMP;BNU;R$ 3,90;R$ 3,37;0,94%;0,94%;50
IMPLDB;IMP;LDB;R$ 4,14;R$ 3,60;0,94%;0,94%;50
IMPFLN;IMP;FLN;R$ 4,25;R$ 3,70;0,94%;0,94%;50
IMPPPB;IMP;PPB;R$ 4,79;R$ 4,32;0,94%;0,94%;50
IMPUDI;IMP;UDI;R$ 3,98;R$ 3,45;0,94%;0,94%;50
IMPMGF;IMP;MGF;R$ 4,16;R$ 3,62;0,94%;0,94%;50
IMPLAJ;IMP;LAJ;R$ 4,80;R$ 4,24;0,94%;0,94%;50
IMPCCM;IMP;CCM;R$ 5,08;R$ 4,51;0,94%;0,94%;50
IMPCAC;IMP;CAC;R$ 4,68;R$ 4,12;0,94%;0,94%;50
IMPXAP;IMP;XAP;R$ 4,76;R$ 4,19;0,94%;0,94%;50
IMPPOA;IMP;POA;R$ 4,82;R$ 4,25;0,94%;0,94%;50
IMPCXJ;IMP;CXJ;R$ 4,06;R$ 3,52;0,94%;0,94%;50
IMPIMP;IMP;IMP;R$ 1,58;R$ 2,14;0,14%;0,14%;50
IMPNAT;IMP;NAT;R$ 2,62;R$ 2,14;0,66%;0,66%;50
IMPFOR;IMP;FOR;R$ 1,81;R$ 1,35;0,66%;0,66%;50
ITJITJ;ITJ;ITJ;R$ 0,36;R$ 0,62;0,14%;0,14%;50
ITJBNU;ITJ;BNU;R$ 0,95;R$ 1,08;0,14%;0,14%;50
ITJCCM;ITJ;CCM;R$ 2,06;R$ 2,15;0,18%;0,18%;50
ITJFLN;ITJ;FLN;R$ 1,18;R$ 1,31;0,18%;0,18%;50
ITJLAJ;ITJ;LAJ;R$ 1,78;R$ 1,88;0,18%;0,18%;50
ITJXAP;ITJ;XAP;R$ 1,79;R$ 1,89;0,18%;0,18%;50
ITJJOI;ITJ;JOI;R$ 0,67;R$ 0,80;0,18%;0,18%;50
ITJCWB;ITJ;CWB;R$ 1,30;R$ 1,42;0,18%;0,18%;50
ITJCXJ;ITJ;CXJ;R$ 2,46;R$ 2,49;0,18%;0,18%;50
ITJPOA;ITJ;POA;R$ 1,39;R$ 1,51;0,25%;0,25%;50
ITJSAO;ITJ;SAO;R$ 1,28;R$ 1,41;0,25%;0,25%;50
ITJSSZ;ITJ;SSZ;R$ 2,29;R$ 2,38;0,25%;0,25%;50
ITJCAC;ITJ;CAC;R$ 2,24;R$ 2,33;0,25%;0,25%;50
ITJLDB;ITJ;LDB;R$ 2,01;R$ 2,09;0,25%;0,25%;50
ITJCPQ;ITJ;CPQ;R$ 1,97;R$ 2,07;0,25%;0,25%;50
ITJSJK;ITJ;SJK;R$ 2,49;R$ 2,57;0,25%;0,25%;50
ITJSOD;ITJ;SOD;R$ 2,02;R$ 2,12;0,25%;0,25%;50
ITJMGF;ITJ;MGF;R$ 2,86;R$ 2,89;0,25%;0,25%;50
ITJBAU;ITJ;BAU;R$ 1,98;R$ 2,09;0,25%;0,25%;50
ITJPSA;ITJ;PSA;R$ 2,75;R$ 2,82;0,25%;0,25%;50
ITJRAO;ITJ;RAO;R$ 1,84;R$ 1,94;0,25%;0,25%;50
ITJPPB;ITJ;PPB;R$ 2,74;R$ 2,82;0,25%;0,25%;50
ITJSJP;ITJ;SJP;R$ 2,55;R$ 2,62;0,25%;0,25%;50
ITJCAW;ITJ;CAW;R$ 2,24;R$ 2,32;0,25%;0,25%;50
ITJRIO;ITJ;RIO;R$ 1,82;R$ 1,91;0,25%;0,25%;50
ITJJDF;ITJ;JDF;R$ 2,40;R$ 2,47;0,27%;0,27%;50
ITJDIV;ITJ;DIV;R$ 1,84;R$ 1,94;0,27%;0,27%;50
ITJUDI;ITJ;UDI;R$ 1,42;R$ 1,54;0,27%;0,27%;50
ITJBHZ;ITJ;BHZ;R$ 1,70;R$ 1,80;0,27%;0,27%;50
ITJVIX;ITJ;VIX;R$ 1,80;R$ 1,90;0,27%;0,27%;50
ITJGYN;ITJ;GYN;R$ 2,21;R$ 2,26;0,27%;0,27%;50
ITJBSB;ITJ;BSB;R$ 2,66;R$ 2,69;0,37%;0,37%;50
ITJCGB;ITJ;CGB;R$ 3,78;R$ 3,80;0,37%;0,37%;50
ITJCGR;ITJ;CGR;R$ 3,03;R$ 3,09;0,37%;0,37%;50
ITJPMW;ITJ;PMW;R$ 3,33;R$ 3,37;0,37%;0,37%;50
ITJVDC;ITJ;VDC;R$ 2,40;R$ 2,49;0,37%;0,37%;50
ITJITN;ITJ;ITN;R$ 2,48;R$ 2,56;0,45%;0,45%;50
ITJSSA;ITJ;SSA;R$ 2,00;R$ 2,09;0,45%;0,45%;50
ITJFES;ITJ;FES;R$ 2,01;R$ 2,07;0,45%;0,45%;50
ITJAJU;ITJ;AJU;R$ 2,13;R$ 2,21;0,66%;0,66%;50
ITJMCZ;ITJ;MCZ;R$ 2,07;R$ 2,16;0,66%;0,66%;50
ITJIMP;ITJ;IMP;R$ 3,17;R$ 3,22;0,94%;0,94%;50
ITJTHE;ITJ;THE;R$ 2,84;R$ 2,91;0,94%;0,94%;50
ITJCAU;ITJ;CAU;R$ 2,92;R$ 2,98;0,94%;0,94%;50
ITJPNZ;ITJ;PNZ;R$ 3,06;R$ 3,11;0,94%;0,94%;50
ITJREC;ITJ;REC;R$ 1,89;R$ 2,00;0,94%;0,94%;50
ITJJPA;ITJ;JPA;R$ 2,03;R$ 2,12;0,94%;0,94%;50
ITJNAT;ITJ;NAT;R$ 2,21;R$ 2,30;0,94%;0,94%;50
ITJSLZ;ITJ;SLZ;R$ 3,09;R$ 3,14;0,94%;0,94%;50
ITJFOR;ITJ;FOR;R$ 2,11;R$ 2,20;0,94%;0,94%;50
ITJBEL;ITJ;BEL;R$ 2,22;R$ 2,29;0,94%;0,94%;50
ITNITN;ITN;ITN;R$ 1,10;R$ 1,59;0,14%;0,14%;50
ITNSSA;ITN;SSA;R$ 2,11;R$ 1,81;0,18%;0,18%;50
ITNAJU;ITN;AJU;R$ 1,99;R$ 1,70;0,18%;0,18%;50
ITNVDC;ITN;VDC;R$ 2,32;R$ 2,02;0,18%;0,18%;50
ITNCAU;ITN;CAU;R$ 2,73;R$ 2,41;0,25%;0,25%;50
ITNVIX;ITN;VIX;R$ 1,78;R$ 1,50;0,27%;0,27%;50
ITNBHZ;ITN;BHZ;R$ 2,13;R$ 1,84;0,27%;0,27%;50
ITNDIV;ITN;DIV;R$ 2,11;R$ 1,82;0,27%;0,27%;50
ITNJDF;ITN;JDF;R$ 2,66;R$ 2,35;0,27%;0,27%;50
ITNPSA;ITN;PSA;R$ 2,81;R$ 2,56;0,27%;0,27%;50
ITNBSB;ITN;BSB;R$ 2,49;R$ 2,03;0,27%;0,27%;50
ITNCGB;ITN;CGB;R$ 5,46;R$ 4,93;0,27%;0,27%;50
ITNCGR;ITN;CGR;R$ 4,89;R$ 4,37;0,27%;0,27%;50
ITNPMW;ITN;PMW;R$ 3,54;R$ 3,08;0,27%;0,27%;50
ITNGYN;ITN;GYN;R$ 2,35;R$ 1,93;0,37%;0,37%;50
ITNCAW;ITN;CAW;R$ 2,58;R$ 2,27;0,37%;0,37%;50
ITNRIO;ITN;RIO;R$ 2,26;R$ 1,96;0,37%;0,37%;50
ITNFES;ITN;FES;R$ 2,05;R$ 1,46;0,18%;0,18%;50
ITNCPQ;ITN;CPQ;R$ 2,62;R$ 2,30;0,37%;0,37%;50
ITNSJK;ITN;SJK;R$ 2,90;R$ 2,58;0,37%;0,37%;50
ITNSOD;ITN;SOD;R$ 2,73;R$ 2,41;0,37%;0,37%;50
ITNSAO;ITN;SAO;R$ 2,26;R$ 2,00;0,37%;0,37%;50
ITNSSZ;ITN;SSZ;R$ 3,32;R$ 2,97;0,37%;0,37%;50
ITNBAU;ITN;BAU;R$ 2,92;R$ 2,67;0,45%;0,45%;50
ITNRAO;ITN;RAO;R$ 2,95;R$ 2,62;0,45%;0,45%;50
ITNCWB;ITN;CWB;R$ 3,05;R$ 2,72;0,45%;0,45%;50
ITNJOI;ITN;JOI;R$ 2,81;R$ 2,49;0,45%;0,45%;50
ITNSJP;ITN;SJP;R$ 3,23;R$ 2,97;0,45%;0,45%;50
ITNITJ;ITN;ITJ;R$ 2,69;R$ 2,38;0,45%;0,45%;50
ITNBNU;ITN;BNU;R$ 2,68;R$ 2,36;0,45%;0,45%;50
ITNLDB;ITN;LDB;R$ 2,91;R$ 2,59;0,45%;0,45%;50
ITNFLN;ITN;FLN;R$ 3,02;R$ 2,69;0,45%;0,45%;50
ITNPPB;ITN;PPB;R$ 3,68;R$ 3,40;0,45%;0,45%;50
ITNUDI;ITN;UDI;R$ 2,75;R$ 2,43;0,37%;0,37%;50
ITNMGF;ITN;MGF;R$ 2,93;R$ 2,60;0,45%;0,45%;50
ITNBEL;ITN;BEL;R$ 2,99;R$ 2,66;0,66%;0,66%;50
ITNLAJ;ITN;LAJ;R$ 3,57;R$ 3,22;0,66%;0,66%;50
ITNCCM;ITN;CCM;R$ 3,85;R$ 3,49;0,66%;0,66%;50
ITNCAC;ITN;CAC;R$ 3,45;R$ 3,10;0,66%;0,66%;50
ITNXAP;ITN;XAP;R$ 3,53;R$ 3,18;0,66%;0,66%;50
ITNCXJ;ITN;CXJ;R$ 2,83;R$ 2,51;0,66%;0,66%;50
ITNPOA;ITN;POA;R$ 3,13;R$ 2,80;0,66%;0,66%;50
ITNMCZ;ITN;MCZ;R$ 1,51;R$ 1,24;0,25%;0,25%;50
ITNPNZ;ITN;PNZ;R$ 2,66;R$ 2,34;0,25%;0,25%;50
ITNREC;ITN;REC;R$ 1,53;R$ 1,33;0,25%;0,25%;50
ITNJPA;ITN;JPA;R$ 1,48;R$ 1,20;0,25%;0,25%;50
ITNNAT;ITN;NAT;R$ 1,66;R$ 1,38;0,27%;0,27%;50
ITNFOR;ITN;FOR;R$ 1,71;R$ 1,43;0,27%;0,27%;50
ITNIMP;ITN;IMP;R$ 2,77;R$ 2,45;0,37%;0,37%;50
ITNSLZ;ITN;SLZ;R$ 2,70;R$ 2,38;0,27%;0,27%;50
ITNTHE;ITN;THE;R$ 2,75;R$ 2,43;0,27%;0,27%;50
JDFRIO;JDF;RIO;R$ 1,80;R$ 1,47;0,18%;0,18%;50
JDFCAW;JDF;CAW;R$ 2,18;R$ 1,83;0,25%;0,25%;50
JDFCPQ;JDF;CPQ;R$ 1,80;R$ 1,54;0,25%;0,25%;50
JDFSJK;JDF;SJK;R$ 2,27;R$ 1,93;0,25%;0,25%;50
JDFSOD;JDF;SOD;R$ 1,90;R$ 1,63;0,25%;0,25%;50
JDFUDI;JDF;UDI;R$ 1,69;R$ 1,37;0,25%;0,25%;50
JDFSAO;JDF;SAO;R$ 1,76;R$ 1,44;0,25%;0,25%;50
JDFSSZ;JDF;SSZ;R$ 2,69;R$ 2,33;0,25%;0,25%;50
JDFRAO;JDF;RAO;R$ 2,09;R$ 1,82;0,25%;0,25%;50
JDFBAU;JDF;BAU;R$ 2,37;R$ 2,09;0,25%;0,25%;50
JDFSJP;JDF;SJP;R$ 2,68;R$ 2,38;0,25%;0,25%;50
JDFCWB;JDF;CWB;R$ 2,58;R$ 2,22;0,27%;0,27%;50
JDFJOI;JDF;JOI;R$ 2,35;R$ 2,00;0,27%;0,27%;50
JDFPPB;JDF;PPB;R$ 3,12;R$ 2,82;0,27%;0,27%;50
JDFITJ;JDF;ITJ;R$ 2,24;R$ 1,89;0,27%;0,27%;50
JDFBNU;JDF;BNU;R$ 2,34;R$ 1,99;0,27%;0,27%;50
JDFLDB;JDF;LDB;R$ 2,29;R$ 1,95;0,27%;0,27%;50
JDFMGF;JDF;MGF;R$ 2,44;R$ 2,09;0,27%;0,27%;50
JDFFLN;JDF;FLN;R$ 2,40;R$ 2,05;0,27%;0,27%;50
JDFLAJ;JDF;LAJ;R$ 2,95;R$ 2,58;0,27%;0,27%;50
JDFCCM;JDF;CCM;R$ 3,23;R$ 2,85;0,27%;0,27%;50
JDFCAC;JDF;CAC;R$ 2,83;R$ 2,46;0,37%;0,37%;50
JDFXAP;JDF;XAP;R$ 2,91;R$ 2,54;0,37%;0,37%;50
JDFCXJ;JDF;CXJ;R$ 2,21;R$ 1,87;0,37%;0,37%;50
JDFPOA;JDF;POA;R$ 2,51;R$ 2,16;0,37%;0,37%;50
JDFPSA;JDF;PSA;R$ 2,65;R$ 2,36;0,18%;0,18%;50
JDFJDF;JDF;JDF;R$ 1,21;R$ 1,58;0,14%;0,14%;50
JDFBHZ;JDF;BHZ;R$ 1,38;R$ 1,07;0,25%;0,25%;50
JDFDIV;JDF;DIV;R$ 1,52;R$ 1,20;0,18%;0,18%;50
JDFGYN;JDF;GYN;R$ 1,49;R$ 1,18;0,25%;0,25%;50
JDFVIX;JDF;VIX;R$ 2,02;R$ 1,69;0,25%;0,25%;50
JDFBSB;JDF;BSB;R$ 1,83;R$ 1,51;0,27%;0,27%;50
JDFFES;JDF;FES;R$ 1,58;R$ 1,13;0,27%;0,27%;50
JDFITN;JDF;ITN;R$ 2,19;R$ 1,85;0,27%;0,27%;50
JDFVDC;JDF;VDC;R$ 2,38;R$ 2,03;0,27%;0,27%;50
JDFSSA;JDF;SSA;R$ 2,04;R$ 1,67;0,27%;0,27%;50
